number_nonzero,r2,alpha,conditions_included,organism_key
48,0.9538696704186908,5.4286754393238595e-09,all,coli
11,0.9978227112479782,4.71486636345739e-09,chemostat,coli
24,0.9990603015694512,4.71486636345739e-09,batch,coli
27,0.9960603304488145,4.71486636345739e-09,both,coli
53,0.9635093638502847,4.71486636345739e-09,all,coli
11,0.9979893468796988,4.094915062380419e-09,chemostat,coli
24,0.9992357593505496,4.094915062380419e-09,batch,coli
26,0.9968922554613858,4.094915062380419e-09,both,coli
52,0.9720638078399919,4.094915062380419e-09,all,coli
12,0.9982155307754234,3.556480306223121e-09,chemostat,coli
25,0.9994473821139628,3.556480306223121e-09,batch,coli
26,0.9977614191671875,3.556480306223121e-09,both,coli
55,0.9786153520379365,3.556480306223121e-09,all,coli
14,0.9989753644534113,3.088843596477485e-09,chemostat,coli
25,0.9995962257985863,3.088843596477485e-09,batch,coli
26,0.9983331794284492,3.088843596477485e-09,both,coli
53,0.9804852684193328,3.088843596477485e-09,all,coli
13,0.9992318131206872,2.6826957952797275e-09,chemostat,coli
27,0.9994484298683151,2.6826957952797275e-09,batch,coli
25,0.9987682241339366,2.6826957952797275e-09,both,coli
54,0.9842627671692582,2.6826957952797275e-09,all,coli
15,0.9996586296365115,2.3299518105153718e-09,chemostat,coli
28,0.9992031939343451,2.3299518105153718e-09,batch,coli
26,0.9989742830588889,2.3299518105153718e-09,both,coli
54,0.9872273416852728,2.3299518105153718e-09,all,coli
18,0.9999490855203804,2.0235896477251556e-09,chemostat,coli
29,0.9992942468811232,2.0235896477251556e-09,batch,coli
33,0.9985519006599097,2.0235896477251556e-09,both,coli
56,0.9896400946514746,2.0235896477251556e-09,all,coli
15,0.9998070508600356,1.7575106248547966e-09,chemostat,coli
29,0.9992994994142694,1.7575106248547966e-09,batch,coli
32,0.9986013792383173,1.7575106248547966e-09,both,coli
55,0.9844514150129751,1.7575106248547966e-09,all,coli
15,0.9998543170248545,1.5264179671752366e-09,chemostat,coli
30,0.9994369493490424,1.5264179671752366e-09,batch,coli
33,0.9986747033136494,1.5264179671752366e-09,both,coli
58,0.9865401101563612,1.5264179671752366e-09,all,coli
15,0.9998901054892335,1.3257113655901108e-09,chemostat,coli
31,0.9992390249964772,1.3257113655901108e-09,batch,coli
39,0.997936886920109,1.3257113655901108e-09,both,coli
53,0.9921571766370008,1.3257113655901108e-09,all,coli
15,0.9999166176642335,1.151395399326448e-09,chemostat,coli
32,0.9997260967139014,1.151395399326448e-09,batch,coli
40,0.998709570139665,1.151395399326448e-09,both,coli
55,0.9937529190183833,1.151395399326448e-09,all,coli
25,0.9997050286595175,1e-09,chemostat,coli
32,0.9997933475961981,1e-09,batch,coli
38,0.9989383655944335,1e-09,both,coli
55,0.9951529776017106,1e-09,all,coli
4,-0.9134363335934017,1e-06,chemostat,yeast
3,-0.8936412699853238,8.685113737513521e-07,chemostat,yeast
3,-0.8809027133597456,7.543120063354623e-07,chemostat,yeast
4,-0.6566783355775869,6.55128556859551e-07,chemostat,yeast
5,-0.32491325672872695,5.689866029018293e-07,chemostat,yeast
6,-0.06424870519914383,4.941713361323838e-07,chemostat,yeast
6,0.16458954729547692,4.2919342601287785e-07,chemostat,yeast
6,0.33768228633103625,3.727593720314938e-07,chemostat,yeast
6,0.47026463499536686,3.2374575428176464e-07,chemostat,yeast
6,0.5708773084989681,2.811768697974231e-07,chemostat,yeast
6,0.6469737100696051,2.4420530945486497e-07,chemostat,yeast
6,0.7044830589971857,2.1209508879201927e-07,chemostat,yeast
6,0.7479338042822038,1.8420699693267165e-07,chemostat,yeast
6,0.7807646549311641,1.5998587196060574e-07,chemostat,yeast
6,0.805575160028954,1.389495494373139e-07,chemostat,yeast
6,0.8243238239123922,1.2067926406393288e-07,chemostat,yeast
6,0.8384854077075665,1.0481131341546853e-07,chemostat,yeast
6,0.8491932040737057,9.102981779915227e-08,chemostat,yeast
7,0.8560315738634838,7.906043210907701e-08,chemostat,yeast
7,0.8581030559152341,6.866488450042998e-08,chemostat,yeast
7,0.8581212020397098,5.963623316594637e-08,chemostat,yeast
9,0.8639138414226266,5.1794746792312124e-08,chemostat,yeast
9,0.878105055341915,4.498432668969444e-08,chemostat,yeast
9,0.8879812547998527,3.906939937054621e-08,chemostat,yeast
9,0.8983241845621897,3.3932217718953296e-08,chemostat,yeast
9,0.9064816609106086,2.9470517025518096e-08,chemostat,yeast
11,0.904211899925502,2.5595479226995333e-08,chemostat,yeast
11,0.9163029218473572,2.2229964825261957e-08,chemostat,yeast
11,0.9335317836526084,1.9306977288832496e-08,chemostat,yeast
11,0.9485140055828377,1.67683293681101e-08,chemostat,yeast
12,0.9636549612403134,1.4563484775012444e-08,chemostat,yeast
13,0.9709574405059292,1.2648552168552958e-08,chemostat,yeast
11,0.9778677674837255,1.0985411419875573e-08,chemostat,yeast
11,0.9831104111889187,9.540954763499964e-09,chemostat,yeast
11,0.986557808499397,8.28642772854686e-09,chemostat,yeast
12,0.9868517764575214,7.1968567300115284e-09,chemostat,yeast
11,0.9880891934690653,6.250551925273976e-09,chemostat,yeast
14,0.9885158093080848,5.4286754393238595e-09,chemostat,yeast
14,0.9899915327730252,4.71486636345739e-09,chemostat,yeast
15,0.9897812508725105,4.094915062380419e-09,chemostat,yeast
16,0.9921750240036397,3.556480306223121e-09,chemostat,yeast
21,0.9861276920077672,3.088843596477485e-09,chemostat,yeast
21,0.9894406706536719,2.6826957952797275e-09,chemostat,yeast
22,0.9912623665700842,2.3299518105153718e-09,chemostat,yeast
23,0.9927909893107645,2.0235896477251556e-09,chemostat,yeast
22,0.9943201563297325,1.7575106248547966e-09,chemostat,yeast
22,0.9955832620521455,1.5264179671752366e-09,chemostat,yeast
22,0.9966034181169499,1.3257113655901108e-09,chemostat,yeast
22,0.9973802007639769,1.151395399326448e-09,chemostat,yeast
24,0.9980156984783467,1e-09,chemostat,yeast
4,0.45529920643085053,1e-06,chemostat,PCC6803
4,0.5903591580788587,8.685113737513521e-07,chemostat,PCC6803
4,0.6919028109914312,7.543120063354623e-07,chemostat,PCC6803
4,0.7718520386136403,6.55128556859551e-07,chemostat,PCC6803
5,0.819609085253072,5.689866029018293e-07,chemostat,PCC6803
5,0.8505449695712267,4.941713361323838e-07,chemostat,PCC6803
5,0.8761380183984491,4.2919342601287785e-07,chemostat,PCC6803
5,0.8980139538381533,3.727593720314938e-07,chemostat,PCC6803
4,0.9124254520715673,3.2374575428176464e-07,chemostat,PCC6803
4,0.9205124467151172,2.811768697974231e-07,chemostat,PCC6803
4,0.9292717209381173,2.4420530945486497e-07,chemostat,PCC6803
4,0.9352385227906406,2.1209508879201927e-07,chemostat,PCC6803
4,0.9405916907978152,1.8420699693267165e-07,chemostat,PCC6803
4,0.9453018968993001,1.5998587196060574e-07,chemostat,PCC6803
4,0.9492178187567115,1.389495494373139e-07,chemostat,PCC6803
4,0.952356899538814,1.2067926406393288e-07,chemostat,PCC6803
6,0.9342985867758716,1.0481131341546853e-07,chemostat,PCC6803
6,0.935574265941391,9.102981779915227e-08,chemostat,PCC6803
4,0.9580432941313305,7.906043210907701e-08,chemostat,PCC6803
5,0.9590345458818244,6.866488450042998e-08,chemostat,PCC6803
5,0.9597175479810817,5.963623316594637e-08,chemostat,PCC6803
5,0.9606582755282462,5.1794746792312124e-08,chemostat,PCC6803
4,0.961450390330654,4.498432668969444e-08,chemostat,PCC6803
4,0.9622359885313724,3.906939937054621e-08,chemostat,PCC6803
8,0.9469237133702764,3.3932217718953296e-08,chemostat,PCC6803
6,0.9617187098769964,2.9470517025518096e-08,chemostat,PCC6803
8,0.948929627289908,2.5595479226995333e-08,chemostat,PCC6803
7,0.9514514077215483,2.2229964825261957e-08,chemostat,PCC6803
8,0.9580652912405625,1.9306977288832496e-08,chemostat,PCC6803
8,0.966940042859789,1.67683293681101e-08,chemostat,PCC6803
8,0.9737890331881637,1.4563484775012444e-08,chemostat,PCC6803
15,0.9928425304380746,1.2648552168552958e-08,chemostat,PCC6803
15,0.9944065610213847,1.0985411419875573e-08,chemostat,PCC6803
15,0.9956768064226705,9.540954763499964e-09,chemostat,PCC6803
15,0.99671679280181,8.28642772854686e-09,chemostat,PCC6803
15,0.9975075257943559,7.1968567300115284e-09,chemostat,PCC6803
16,0.9977502278106868,6.250551925273976e-09,chemostat,PCC6803
15,0.997846274215914,5.4286754393238595e-09,chemostat,PCC6803
15,0.9979961444852634,4.71486636345739e-09,chemostat,PCC6803
13,0.9980812130826349,4.094915062380419e-09,chemostat,PCC6803
19,0.9988340961531147,3.556480306223121e-09,chemostat,PCC6803
18,0.9984203870248647,3.088843596477485e-09,chemostat,PCC6803
18,0.9988241678346327,2.6826957952797275e-09,chemostat,PCC6803
18,0.9991219089895614,2.3299518105153718e-09,chemostat,PCC6803
17,0.9982675761407485,2.0235896477251556e-09,chemostat,PCC6803
17,0.9983288334554256,1.7575106248547966e-09,chemostat,PCC6803
15,0.9969488282198836,1.5264179671752366e-09,chemostat,PCC6803
15,0.9973224724727296,1.3257113655901108e-09,chemostat,PCC6803
14,0.9983242242376437,1.151395399326448e-09,chemostat,PCC6803
14,0.9987224344104813,1e-09,chemostat,PCC6803
